Serial_No,Constituency_ No.,Constituency_Name,Total_Electors,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percent_Valid_Votes,Percent_Total_Electors
1,1, GUMMIDIPOONDI ,254175,S.vijayakumar,MALE,56,GENERAL,TVK,Whistle,93820,500,94320,40.56,37.11
2,1, GUMMIDIPOONDI ,254175,Sudhakar.v,MALE,40,GENERAL,ADMK,Two leaves,65894,481,66375,28.55,26.11
3,1, GUMMIDIPOONDI ,254175,T.j.govindarajan,MALE,65,GENERAL,DMK,Rising sun,61922,570,62492,26.88,24.59
4,1, GUMMIDIPOONDI ,254175,"R.sridar. B.l.,",MALE,54,GENERAL,NTK,Carrying,4707,49,4756,2.05,1.87
6,1, GUMMIDIPOONDI ,254175,M.jagadeesan,MALE,34,SC,BSP,Elephant,695,2,697,0.3,0.27
7,1, GUMMIDIPOONDI ,254175,Sdk Sankar,MALE,46,GENERAL,AJPK,Gas cylinder,593,6,599,0.26,0.24
8,1, GUMMIDIPOONDI ,254175,G.ranjith B.sc.l.l.b,MALE,25,GENERAL,IND,Crane,502,1,503,0.22,0.2
10,1, GUMMIDIPOONDI ,254175,D.sudhakar,MALE,35,GENERAL,IND,Peas,319,2,321,0.14,0.13
11,1, GUMMIDIPOONDI ,254175,M.kumaran,MALE,44,GENERAL,IND,Diamond,260,0,260,0.11,0.1
12,1, GUMMIDIPOONDI ,254175,D.dinesh,MALE,42,GENERAL,IND,Road roller,222,0,222,0.1,0.09
13,1, GUMMIDIPOONDI ,254175,V.sudhakar,MALE,40,GENERAL,IND,Water melon,217,0,217,0.09,0.09
14,1, GUMMIDIPOONDI ,254175,T.govindan,MALE,43,GENERAL,IND,Ship,205,1,206,0.09,0.08
15,1, GUMMIDIPOONDI ,254175,Gopal.k,MALE,63,GENERAL,IND,Letter box,174,3,177,0.08,0.07
16,1, GUMMIDIPOONDI ,254175,A.h. Siva Ganesh,MALE,43,GENERAL,IND,Batsman,104,0,104,0.04,0.04
1,2, PONNERI (SC) ,251421,Dr.ravi.m.s,MALE,67,SC,TVK,Whistle,110051,388,110439,48.69,43.93
2,2, PONNERI (SC) ,251421,Durai Chandrasekar,MALE,53,SC,INC,Hand,54301,370,54671,24.1,21.74
3,2, PONNERI (SC) ,251421,Balaraman.p,MALE,64,SC,ADMK,Two leaves,51160,308,51468,22.69,20.47
4,2, PONNERI (SC) ,251421,Rajathi.m,FEMALE,34,SC,NTK,Carrying,6633,43,6676,2.94,2.66
6,2, PONNERI (SC) ,251421,Santhoshkumar.j,MALE,46,SC,BSP,Elephant,611,4,615,0.27,0.24
7,2, PONNERI (SC) ,251421,Malathi.s,FEMALE,28,SC,MMKA,Matchbox,371,0,371,0.16,0.15
9,2, PONNERI (SC) ,251421,Raja.s,MALE,46,SC,VBA,Gas cylinder,295,4,299,0.13,0.12
10,2, PONNERI (SC) ,251421,Rajasekar.j,MALE,36,SC,IND,Pen drive,288,1,289,0.13,0.11
11,2, PONNERI (SC) ,251421,Nagaiyan.g,MALE,48,SC,IND,Batsman,227,5,232,0.1,0.09
12,2, PONNERI (SC) ,251421,Venkatesan.s,MALE,43,SC,IND,Water melon,202,1,203,0.09,0.08
13,2, PONNERI (SC) ,251421,Kotteeswaran. K,MALE,44,SC,tavk,Camera,163,3,166,0.07,0.07
14,2, PONNERI (SC) ,251421,Barathiraja.k,MALE,39,SC,IND,Brush,155,4,159,0.07,0.06
1,3, TIRUTTANI ,262500,G.hari,MALE,65,GENERAL,ADMK,Two leaves,87893,1276,89169,37.34,33.97
2,3, TIRUTTANI ,262500,M.sathya Kumar,MALE,38,GENERAL,TVK,Whistle,82608,768,83376,34.91,31.76
3,3, TIRUTTANI ,262500,D.krishnamurthy,MALE,63,GENERAL,DMDK,Nagara,53976,887,54863,22.97,20.9
4,3, TIRUTTANI ,262500,Chandran .s.s,MALE,27,GENERAL,NTK,Carrying,6516,188,6704,2.81,2.55
7,3, TIRUTTANI ,262500,Jambu.b,MALE,35,SC,IND,Bucket,623,5,628,0.26,0.24
8,3, TIRUTTANI ,262500,Muthuraj.g,MALE,56,SC,BSP,Elephant,469,1,470,0.2,0.18
10,3, TIRUTTANI ,262500,Balaji.a,MALE,37,GENERAL,TK,Matchbox,272,0,272,0.11,0.1
11,3, TIRUTTANI ,262500,Krishnamoorthy.k,MALE,29,GENERAL,IND,Diamond,201,9,210,0.09,0.08
12,3, TIRUTTANI ,262500,Dr.a.v.narendran,MALE,43,GENERAL,IND,Bangles,197,1,198,0.08,0.08
13,3, TIRUTTANI ,262500,Shettu.s,MALE,53,SC,IND,Gas cylinder,152,1,153,0.06,0.06
14,3, TIRUTTANI ,262500,Pavendhan.y.r,MALE,47,GENERAL,tavk,Camera,130,2,132,0.06,0.05
1,4, THIRUVALLUR ,251111,Dr. T. Arunkumar,MALE,49,GENERAL,TVK,Whistle,91683,507,92190,40.71,36.71
2,4, THIRUVALLUR ,251111,V.g. Raajendran,MALE,58,GENERAL,DMK,Rising sun,66729,701,67430,29.78,26.85
3,4, THIRUVALLUR ,251111,Be Vee Ramanah,MALE,58,GENERAL,ADMK,Two leaves,56086,476,56562,24.98,22.52
4,4, THIRUVALLUR ,251111,K. Senthilkumar,MALE,38,GENERAL,NTK,Carrying,5452,61,5513,2.43,2.2
6,4, THIRUVALLUR ,251111,S. Rajendran,MALE,62,GENERAL,IND,Plate stand,867,1,868,0.38,0.35
7,4, THIRUVALLUR ,251111,B. Rajesh Kumar,MALE,42,GENERAL,BSP,Elephant,668,6,674,0.3,0.27
8,4, THIRUVALLUR ,251111,E. Mani,MALE,68,SC,RPPRINAT,Ganna kisan,644,9,653,0.29,0.26
9,4, THIRUVALLUR ,251111,N. Venkatesan,MALE,50,GENERAL,AJPK,Gas cylinder,352,2,354,0.16,0.14
10,4, THIRUVALLUR ,251111,G. Rajendiran,MALE,59,GENERAL,IND,Water tank,223,4,227,0.1,0.09
12,4, THIRUVALLUR ,251111,N. Balakrishnan,MALE,49,GENERAL,IND,Diamond,186,0,186,0.08,0.07
13,4, THIRUVALLUR ,251111,N. Nagendrababu,MALE,30,GENERAL,IND,Cot,184,0,184,0.08,0.07
14,4, THIRUVALLUR ,251111,E. Rajarathinam,MALE,45,GENERAL,tavk,Camera,134,0,134,0.06,0.05
15,4, THIRUVALLUR ,251111,R. Ramanan,MALE,56,GENERAL,IND,Can,118,0,118,0.05,0.05
1,5, POONAMALLEE (SC) ,368694,Prakasam.r,MALE,44,SC,TVK,Whistle,160643,666,161309,52.22,43.75
2,5, POONAMALLEE (SC) ,368694,Krishnaswamy.a,MALE,60,SC,DMK,Rising sun,87803,766,88569,28.67,24.02
4,5, POONAMALLEE (SC) ,368694,Mekala.j,FEMALE,45,SC,NTK,Carrying,11616,81,11697,3.79,3.17
6,5, POONAMALLEE (SC) ,368694,Rajasekaran.k,MALE,33,SC,BSP,Elephant,852,8,860,0.28,0.23
7,5, POONAMALLEE (SC) ,368694,Ravikumar.m,MALE,38,SC,IND,Diamond,352,3,355,0.11,0.1
8,5, POONAMALLEE (SC) ,368694,Dr.jayanthi.r,FEMALE,50,SC,IND,Swing,299,5,304,0.1,0.08
9,5, POONAMALLEE (SC) ,368694,Sivakumar.s,MALE,56,SC,IND,Belt,297,0,297,0.1,0.08
10,5, POONAMALLEE (SC) ,368694,Velu.s,MALE,49,SC,IND,Batsman,263,1,264,0.09,0.07
11,5, POONAMALLEE (SC) ,368694,Purushothaman.b,MALE,56,SC,IND,Saw,254,1,255,0.08,0.07
12,5, POONAMALLEE (SC) ,368694,Dhasarathan.r,MALE,58,SC,IND,Box,133,0,133,0.04,0.04
1,6, AVADI ,436522,R.ramesh Kumar,MALE,60,GENERAL,TVK,Whistle,179472,912,180384,52.13,41.32
2,6, AVADI ,436522,S.m.nasar,MALE,66,GENERAL,DMK,Rising sun,103115,958,104073,30.08,23.84
3,6, AVADI ,436522,Rajasimha Mahendra,MALE,49,GENERAL,BJP,Lotus,39170,435,39605,11.45,9.07
4,6, AVADI ,436522,Punitha Shanmugam,FEMALE,32,GENERAL,NTK,Carrying,16190,145,16335,4.72,3.74
6,6, AVADI ,436522,S. Charles,MALE,40,SC,BSP,Elephant,746,15,761,0.22,0.17
8,6, AVADI ,436522,R.edmund Jayendren,MALE,53,GENERAL,tavk,Camera,471,7,478,0.14,0.11
10,6, AVADI ,436522,P. Chellapandian,MALE,58,GENERAL,IND,Gas cylinder,254,1,255,0.07,0.06
11,6, AVADI ,436522,C.s. Karnan,MALE,70,SC,ACDP,Truck,222,2,224,0.06,0.05
12,6, AVADI ,436522,G.d. Arunkumar,MALE,30,SC,IND,Gramophone,205,0,205,0.06,0.05
13,6, AVADI ,436522,R. Manikandan,MALE,33,SC,IND,Envelope,195,0,195,0.06,0.04
15,6, AVADI ,436522,S. Senthilkumar,MALE,48,SC,IND,Fountain,167,0,167,0.05,0.04
16,6, AVADI ,436522,Senthilkumar. S,MALE,50,GENERAL,APTADMK,Jackfruit,156,0,156,0.05,0.04
17,6, AVADI ,436522,K. Balakrishnan,MALE,47,SC,IND,Lady finger,141,0,141,0.04,0.03
18,6, AVADI ,436522,M. Erajasimman,MALE,42,SC,IND,Cauliflower,105,0,105,0.03,0.02
19,6, AVADI ,436522,Rajasekar. R,MALE,27,SC,IND,Brush,105,0,105,0.03,0.02
20,6, AVADI ,436522,Uniesh Raj. M,MALE,29,SC,IND,Scissors,93,1,94,0.03,0.02
21,6, AVADI ,436522,K. Annamalai,MALE,52,SC,IND,Refrigerator,77,0,77,0.02,0.02
1,7, MADURAVOYAL ,373321,Rhevanth Charan,MALE,30,GENERAL,TVK,Whistle,141423,302,141725,48.26,37.96
2,7, MADURAVOYAL ,373321,Ganapathy. K,MALE,67,GENERAL,DMK,Rising sun,79667,549,80216,27.31,21.49
3,7, MADURAVOYAL ,373321,P. Benjamin,MALE,56,GENERAL,ADMK,Two leaves,54456,249,54705,18.63,14.65
4,7, MADURAVOYAL ,373321,Revathi L,FEMALE,32,GENERAL,NTK,Carrying,12977,47,13024,4.43,3.49
6,7, MADURAVOYAL ,373321,R. Siva,MALE,34,GENERAL,IND,Sitar,315,7,322,0.11,0.09
7,7, MADURAVOYAL ,373321,Murali. S,MALE,31,GENERAL,NIDP,Spanner,298,2,300,0.1,0.08
10,7, MADURAVOYAL ,373321,S. Benjamin Moses,MALE,38,GENERAL,IND,Electric pole,206,1,207,0.07,0.06
11,7, MADURAVOYAL ,373321,Ponmuthu Ramesh,MALE,62,GENERAL,IND,Stethoscope,200,2,202,0.07,0.05
13,7, MADURAVOYAL ,373321,N.a. Mani,MALE,30,SC,IND,Bucket,157,0,157,0.05,0.04
15,7, MADURAVOYAL ,373321,K. Ganapathy,MALE,39,GENERAL,IND,Diamond,96,3,99,0.03,0.03
17,7, MADURAVOYAL ,373321,Vignesh Nandagopal,MALE,31,GENERAL,IND,Mixee,83,0,83,0.03,0.02
18,7, MADURAVOYAL ,373321,Saravanan Kumar,MALE,39,GENERAL,IND,Gas cylinder,78,0,78,0.03,0.02
19,7, MADURAVOYAL ,373321,Muthuraman. S,MALE,57,GENERAL,AMGRDMK,Pan,70,1,71,0.02,0.02
20,7, MADURAVOYAL ,373321,M. Balasubramanian,MALE,50,GENERAL,IND,Bangles,67,0,67,0.02,0.02
22,7, MADURAVOYAL ,373321,M. James,MALE,59,GENERAL,IND,Cake,34,0,34,0.01,0.01
1,8, AMBATTUR ,337081,Balamurugan.g,MALE,44,GENERAL,TVK,Whistle,132995,344,133339,51.29,39.56
2,8, AMBATTUR ,337081,Dr A.p. Poornima,FEMALE,33,GENERAL,DMK,Rising sun,74156,402,74558,28.68,22.12
3,8, AMBATTUR ,337081,K.n. Sekar,MALE,55,GENERAL,PMK,Mango,35826,171,35997,13.85,10.68
4,8, AMBATTUR ,337081,Silambarasan,MALE,35,GENERAL,NTK,Carrying,11049,39,11088,4.26,3.29
6,8, AMBATTUR ,337081,A.kalyanasundaram,MALE,70,GENERAL,NJANP,Sitar,584,4,588,0.23,0.17
8,8, AMBATTUR ,337081,Dr. J.sailas,FEMALE,42,SC,BSP,Elephant,441,2,443,0.17,0.13
9,8, AMBATTUR ,337081,Dr. S.praveen,MALE,37,GENERAL,IND,Television,305,3,308,0.12,0.09
10,8, AMBATTUR ,337081,V. Ramkumar,MALE,52,SC,INDSRJP,Diamond,224,0,224,0.09,0.07
12,8, AMBATTUR ,337081,M.s. Arumugam,MALE,61,SC,IND,Gas cylinder,135,0,135,0.05,0.04
14,8, AMBATTUR ,337081,Rajkumar,MALE,30,GENERAL,tavk,Camera,125,2,127,0.05,0.04
15,8, AMBATTUR ,337081,S. Janarthanan,MALE,32,SC,IND,Matchbox,125,1,126,0.05,0.04
17,8, AMBATTUR ,337081,Palani,MALE,46,GENERAL,IND,Batsman,99,4,103,0.04,0.03
19,8, AMBATTUR ,337081,Jothi.m,FEMALE,41,GENERAL,IND,Balloon,89,0,89,0.03,0.03
20,8, AMBATTUR ,337081,Vinayagamoorthy.r,MALE,35,GENERAL,IND,Ship,82,1,83,0.03,0.02
21,8, AMBATTUR ,337081,P. Arumugam,MALE,50,GENERAL,IND,Water tank,77,0,77,0.03,0.02
22,8, AMBATTUR ,337081,G. Sampath,MALE,65,GENERAL,IND,Bangles,71,1,72,0.03,0.02
24,8, AMBATTUR ,337081,D. Jeyaganesh,MALE,46,GENERAL,NIDP,Spanner,67,0,67,0.03,0.02
1,9, MADAVARAM ,431866,M.l.vijayprabhu,MALE,37,GENERAL,TVK,Whistle,189784,678,190462,52.61,44.1
2,9, MADAVARAM ,431866,S.sudharsanam,MALE,67,GENERAL,DMK,Rising sun,94782,695,95477,26.38,22.11
3,9, MADAVARAM ,431866,Madhavaram V.moorthy,MALE,67,GENERAL,ADMK,Two leaves,58914,376,59290,16.38,13.73
4,9, MADAVARAM ,431866,E.krithika,FEMALE,28,GENERAL,NTK,Carrying,12563,74,12637,3.49,2.93
7,9, MADAVARAM ,431866,N.janakiraman,MALE,53,SC,BSP,Elephant,530,7,537,0.15,0.12
8,9, MADAVARAM ,431866,R.karthikeyan,MALE,51,GENERAL,tavk,Camera,231,1,232,0.06,0.05
9,9, MADAVARAM ,431866,S.sivakumar,MALE,54,GENERAL,IND,Chain,198,0,198,0.05,0.05
10,9, MADAVARAM ,431866,G.prabu,MALE,40,GENERAL,IND,Tooth brush,190,1,191,0.05,0.04
11,9, MADAVARAM ,431866,V.murthy,MALE,56,GENERAL,IND,Wallet,188,0,188,0.05,0.04
12,9, MADAVARAM ,431866,A.nagarajan,MALE,39,SC,IND,Peas,173,4,177,0.05,0.04
13,9, MADAVARAM ,431866,Sudarsanam,MALE,67,GENERAL,IND,Diamond,155,2,157,0.04,0.04
14,9, MADAVARAM ,431866,C.moorthy,MALE,42,GENERAL,IND,Electric pole,154,0,154,0.04,0.04
15,9, MADAVARAM ,431866,A.ponnalagan,MALE,60,GENERAL,IND,Saw,128,1,129,0.04,0.03
16,9, MADAVARAM ,431866,R.s.balaji,MALE,53,GENERAL,IND,Ship,98,1,99,0.03,0.02
1,10, THIRUVOTTIYUR ,244931,Senthil Kumar. N,MALE,46,GENERAL,TVK,Whistle,109788,279,110067,53.15,44.94
2,10, THIRUVOTTIYUR ,244931,Sundararaj. L,MALE,59,GENERAL,CPI(M),Sickle and,56265,238,56503,27.28,23.07
3,10, THIRUVOTTIYUR ,244931,Kuppan. K,MALE,72,GENERAL,ADMK,Two leaves,28190,130,28320,13.68,11.56
4,10, THIRUVOTTIYUR ,244931,Sathya. B,FEMALE,40,GENERAL,NTK,Carrying,8380,33,8413,4.06,3.43
5,10, THIRUVOTTIYUR ,244931,Michaelraj. M. A,MALE,56,GENERAL,IND,Gas cylinder,832,6,838,0.4,0.34
7,10, THIRUVOTTIYUR ,244931,Mahendra Kumar. D,MALE,45,GENERAL,BSP,Elephant,455,3,458,0.22,0.19
8,10, THIRUVOTTIYUR ,244931,Vijay. A,MALE,31,SC,IND,Electric pole,310,6,316,0.15,0.13
11,10, THIRUVOTTIYUR ,244931,Dilli Kumar. R,MALE,41,GENERAL,DNA,Ship,198,0,198,0.1,0.08
12,10, THIRUVOTTIYUR ,244931,Venkataramanan. J,MALE,28,GENERAL,tavk,Camera,148,1,149,0.07,0.06
13,10, THIRUVOTTIYUR ,244931,Thanikasalam. B,MALE,46,GENERAL,IND,Door bell,138,1,139,0.07,0.06
14,10, THIRUVOTTIYUR ,244931,Gopi. K,MALE,35,SC,IND,Gramophone,117,0,117,0.06,0.05
16,10, THIRUVOTTIYUR ,244931,Aravind. R,MALE,32,GENERAL,IND,Matchbox,72,5,77,0.04,0.03
1,11, DR.RADHAKRISHNAN NAGAR ,199394,N. Marie Wilson,MALE,46,GENERAL,TVK,Whistle,97529,271,97800,53.97,49.05
2,11, DR.RADHAKRISHNAN NAGAR ,199394,J. John Ebenezer,MALE,50,GENERAL,DMK,Rising sun,47907,225,48132,26.56,24.14
3,11, DR.RADHAKRISHNAN NAGAR ,199394,R.s.raajesh,MALE,54,GENERAL,ADMK,Two leaves,26754,138,26892,14.84,13.49
4,11, DR.RADHAKRISHNAN NAGAR ,199394,Vennila.t,FEMALE,42,GENERAL,NTK,Carrying,5330,34,5364,2.96,2.69
6,11, DR.RADHAKRISHNAN NAGAR ,199394,B.navin,MALE,30,GENERAL,tavk,Camera,337,1,338,0.19,0.17
7,11, DR.RADHAKRISHNAN NAGAR ,199394,E. Raamadasan,MALE,73,SC,MANAK,Diamond,236,0,236,0.13,0.12
8,11, DR.RADHAKRISHNAN NAGAR ,199394,D.prabhu,MALE,37,SC,IND,Iron,210,1,211,0.12,0.11
9,11, DR.RADHAKRISHNAN NAGAR ,199394,A.mohanraj,MALE,55,GENERAL,SUCI,Scissors,178,1,179,0.1,0.09
10,11, DR.RADHAKRISHNAN NAGAR ,199394,J.saravanakumar,MALE,36,GENERAL,IND,Road roller,149,0,149,0.08,0.07
11,11, DR.RADHAKRISHNAN NAGAR ,199394,M. Sathish,MALE,42,GENERAL,IND,Chain,112,0,112,0.06,0.06
13,11, DR.RADHAKRISHNAN NAGAR ,199394,V.sudhakar,MALE,31,GENERAL,IND,Green chilli,86,0,86,0.05,0.04
14,11, DR.RADHAKRISHNAN NAGAR ,199394,A.vijay,MALE,42,GENERAL,IND,Robot,71,0,71,0.04,0.04
15,11, DR.RADHAKRISHNAN NAGAR ,199394,C. Rajamanickam,MALE,65,GENERAL,IND,Gas cylinder,65,0,65,0.04,0.03
16,11, DR.RADHAKRISHNAN NAGAR ,199394,G. Vijay,MALE,29,SC,IND,Hand cart,58,0,58,0.03,0.03
17,11, DR.RADHAKRISHNAN NAGAR ,199394,G. Bothi Rajan,MALE,45,GENERAL,IND,Cake,53,1,54,0.03,0.03
18,11, DR.RADHAKRISHNAN NAGAR ,199394,L.saravanan,MALE,50,GENERAL,IND,Laptop,54,0,54,0.03,0.03
19,11, DR.RADHAKRISHNAN NAGAR ,199394,J.murali Krishnan,MALE,26,GENERAL,IND,Flute,47,0,47,0.03,0.02
20,11, DR.RADHAKRISHNAN NAGAR ,199394,Manikandan.h,MALE,28,GENERAL,IND,Chimney,46,1,47,0.03,0.02
21,11, DR.RADHAKRISHNAN NAGAR ,199394,Chandrasekar,MALE,51,GENERAL,MMKA,Matchbox,47,0,47,0.03,0.02
22,11, DR.RADHAKRISHNAN NAGAR ,199394,D.karthikeyan,MALE,26,GENERAL,SAP,Calculator,44,0,44,0.02,0.02
23,11, DR.RADHAKRISHNAN NAGAR ,199394,R.ethiraj,MALE,51,GENERAL,IND,Grapes,44,0,44,0.02,0.02
24,11, DR.RADHAKRISHNAN NAGAR ,199394,C.janarthanan,MALE,33,SC,IND,Ring,42,0,42,0.02,0.02
25,11, DR.RADHAKRISHNAN NAGAR ,199394,A. Usha,FEMALE,38,GENERAL,IND,Baby walker,41,0,41,0.02,0.02
26,11, DR.RADHAKRISHNAN NAGAR ,199394,V.shankar,MALE,63,GENERAL,IND,Bench,40,0,40,0.02,0.02
27,11, DR.RADHAKRISHNAN NAGAR ,199394,R.devakumar,MALE,36,SC,IND,Coat,39,1,40,0.02,0.02
29,11, DR.RADHAKRISHNAN NAGAR ,199394,D. Janarthanan,MALE,43,SC,IND,Mike,37,0,37,0.02,0.02
30,11, DR.RADHAKRISHNAN NAGAR ,199394,R.tamilarasan,MALE,34,GENERAL,IND,Electric pole,36,0,36,0.02,0.02
31,11, DR.RADHAKRISHNAN NAGAR ,199394,P. Marimuthu,MALE,70,GENERAL,IND,Mixee,35,0,35,0.02,0.02
32,11, DR.RADHAKRISHNAN NAGAR ,199394,V. Madhan Mohan,MALE,35,GENERAL,IND,Bat,35,0,35,0.02,0.02
33,11, DR.RADHAKRISHNAN NAGAR ,199394,D. Ajith Kumar,MALE,26,GENERAL,IND,Biscuit,31,1,32,0.02,0.02
34,11, DR.RADHAKRISHNAN NAGAR ,199394,Amudha.n,FEMALE,43,GENERAL,IND,Triangle,30,0,30,0.02,0.02
36,11, DR.RADHAKRISHNAN NAGAR ,199394,K. Sujith,MALE,31,GENERAL,IND,Carpet,25,0,25,0.01,0.01
37,11, DR.RADHAKRISHNAN NAGAR ,199394,Tamilselvan,MALE,27,SC,IND,Sofa,25,0,25,0.01,0.01
38,11, DR.RADHAKRISHNAN NAGAR ,199394,S.emmanuvel,MALE,42,SC,IND,Ship,24,0,24,0.01,0.01
39,11, DR.RADHAKRISHNAN NAGAR ,199394,G. Madhan Kumar,MALE,36,GENERAL,IND,Box,17,0,17,0.01,0.01
1,12, PERAMBUR ,226345,C. Joseph Vijay,MALE,52,GENERAL,TVK,Whistle,119785,580,120365,58.89,53.18
2,12, PERAMBUR ,226345,R.d. Shekar,MALE,59,GENERAL,DMK,Rising sun,66080,570,66650,32.61,29.45
3,12, PERAMBUR ,226345,M. Thilagabama,FEMALE,56,GENERAL,PMK,Mango,8471,90,8561,4.19,3.78
4,12, PERAMBUR ,226345,S. Vetri Thamizhan,MALE,40,GENERAL,NTK,Carrying,5080,34,5114,2.5,2.26
6,12, PERAMBUR ,226345,A. Rajaram,MALE,51,SC,RPPRINAT,Ganna kisan,255,1,256,0.13,0.11
9,12, PERAMBUR ,226345,Vijay,MALE,29,GENERAL,AIJYMKG,Road roller,207,9,216,0.11,0.1
10,12, PERAMBUR ,226345,Vetri Vel Selvam,MALE,32,GENERAL,BSP,Elephant,172,2,174,0.09,0.08
11,12, PERAMBUR ,226345,V. Raji,MALE,50,GENERAL,IND,Tea filter,141,7,148,0.07,0.07
12,12, PERAMBUR ,226345,Bowdharaj,MALE,53,SC,IND,Mike,118,0,118,0.06,0.05
13,12, PERAMBUR ,226345,J. Sebastin,MALE,49,GENERAL,SUCI,Gas cylinder,100,1,101,0.05,0.04
14,12, PERAMBUR ,226345,D.v. Venugopal,MALE,55,GENERAL,tavk,Camera,97,1,98,0.05,0.04
15,12, PERAMBUR ,226345,Dr.d. Madan,MALE,28,GENERAL,IND,Stethoscope,95,0,95,0.05,0.04
16,12, PERAMBUR ,226345,K.m. Devan,MALE,41,GENERAL,MMRSK,Computer,94,0,94,0.05,0.04
17,12, PERAMBUR ,226345,B. Balaji,MALE,37,GENERAL,IND,Jackfruit,93,0,93,0.05,0.04
18,12, PERAMBUR ,226345,Vijay. G,MALE,35,GENERAL,IND,Gramophone,89,1,90,0.04,0.04
20,12, PERAMBUR ,226345,P. Thangamani,MALE,61,GENERAL,IND,Binoculars,78,0,78,0.04,0.03
21,12, PERAMBUR ,226345,S. Joseph,MALE,65,GENERAL,IND,Pen drive,77,0,77,0.04,0.03
22,12, PERAMBUR ,226345,Ashlin Belmen .a.s,MALE,29,GENERAL,TMGMK,Diamond,70,1,71,0.03,0.03
23,12, PERAMBUR ,226345,Nivetha,FEMALE,32,GENERAL,IND,Ring,70,0,70,0.03,0.03
26,12, PERAMBUR ,226345,R. Jayaseelan,MALE,60,GENERAL,IND,Helmet,51,0,51,0.02,0.02
27,12, PERAMBUR ,226345,M. Geeta,FEMALE,39,GENERAL,TK,Matchbox,47,0,47,0.02,0.02
28,12, PERAMBUR ,226345,S. Sureshkumar,MALE,42,SC,MKat,Telephone,45,1,46,0.02,0.02
30,12, PERAMBUR ,226345,M. Kadhiravan,MALE,58,GENERAL,IND,Trumpet,41,0,41,0.02,0.02
31,12, PERAMBUR ,226345,Dr.r. Saravana Perumal,MALE,52,GENERAL,MANAK,Bucket,39,0,39,0.02,0.02
32,12, PERAMBUR ,226345,M.i. Thahira Banu,FEMALE,46,GENERAL,IND,Grapes,32,1,33,0.02,0.01
35,12, PERAMBUR ,226345,Reegan Prabhu,MALE,37,SC,IND,Batsman,31,0,31,0.02,0.01
36,12, PERAMBUR ,226345,Sivakumar.v,MALE,39,GENERAL,TTNP,Scissors,30,0,30,0.01,0.01
37,12, PERAMBUR ,226345,H. Dhanasekar,MALE,43,SC,IND,Ship,28,0,28,0.01,0.01
39,12, PERAMBUR ,226345,S. Michael,MALE,41,GENERAL,IND,Bat,24,0,24,0.01,0.01
40,12, PERAMBUR ,226345,S. Rajesh Kumar,MALE,51,GENERAL,IND,Balloon,21,0,21,0.01,0.01
41,12, PERAMBUR ,226345,Sathish.b,MALE,45,GENERAL,IND,Robot,19,0,19,0.01,0.01
42,12, PERAMBUR ,226345,B. Sathish Kumar,MALE,43,SC,IND,Box,19,0,19,0.01,0.01
43,12, PERAMBUR ,226345,P. Gunasekar,MALE,56,GENERAL,IND,Can,18,0,18,0.01,0.01
44,12, PERAMBUR ,226345,S. Ramesh,MALE,40,GENERAL,IND,Biscuit,17,0,17,0.01,0.01
45,12, PERAMBUR ,226345,E. Udhaya Kumar,MALE,56,GENERAL,IND,Letter box,15,1,16,0.01,0.01
46,12, PERAMBUR ,226345,P. Esakki Muthu,MALE,69,GENERAL,IND,Table,14,0,14,0.01,0.01
47,12, PERAMBUR ,226345,S. Vishnu Varthan,MALE,29,GENERAL,IND,Pillow,13,0,13,0.01,0.01
1,13, KOLATHUR ,211833,V. S. Babu,MALE,75,GENERAL,TVK,Whistle,82614,383,82997,45.09,39.18
2,13, KOLATHUR ,211833,M. K. Stalin,MALE,72,GENERAL,DMK,Rising sun,73220,982,74202,40.32,35.03
3,13, KOLATHUR ,211833,P. Santhana Krishnan,MALE,51,GENERAL,ADMK,Two leaves,18215,215,18430,10.01,8.7
6,13, KOLATHUR ,211833,S.y. Syed Yusuf,MALE,32,GENERAL,RPPRINAT,Ganna kisan,476,8,484,0.26,0.23
7,13, KOLATHUR ,211833,Subashini,FEMALE,37,SC,BSP,Elephant,226,10,236,0.13,0.11
8,13, KOLATHUR ,211833,Aathithya,MALE,48,GENERAL,SAP,Bangles,180,1,181,0.1,0.09
10,13, KOLATHUR ,211833,R. Senthil Kumar,MALE,45,GENERAL,IND,Diamond,123,2,125,0.07,0.06
12,13, KOLATHUR ,211833,Oormila,FEMALE,42,GENERAL,tavk,Camera,104,1,105,0.06,0.05
13,13, KOLATHUR ,211833,J. Suriya Muthu,MALE,51,GENERAL,IND,Iron,83,1,84,0.05,0.04
14,13, KOLATHUR ,211833,Nanda Kumar,MALE,34,GENERAL,IND,Helmet,79,0,79,0.04,0.04
15,13, KOLATHUR ,211833,A. L. Naresh Kumar,MALE,33,GENERAL,IND,Matchbox,74,0,74,0.04,0.03
16,13, KOLATHUR ,211833,M. Rajeshkumar,MALE,36,SC,IND,Door bell,72,1,73,0.04,0.03
17,13, KOLATHUR ,211833,R. Mahesh,MALE,35,GENERAL,IND,Road roller,64,0,64,0.03,0.03
19,13, KOLATHUR ,211833,P. Milany,MALE,45,GENERAL,IND,Bucket,56,0,56,0.03,0.03
20,13, KOLATHUR ,211833,Arul Doss. A.,MALE,44,GENERAL,IND,Table,53,2,55,0.03,0.03
