Serial_No,Constituency_ No.,Constituency_Name,Total_Electors,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percent_Valid_Votes,Percent_Total_Electors
2,207, ARUPPUKKOTTAI ,208168,Karthik Kumar. K,MALE,31,GENERAL,TVK,Whistle,59556,605,60161,33.72,28.9
3,207, ARUPPUKKOTTAI ,208168,Sethupathy. S,MALE,53,GENERAL,ADMK,Two leaves,36783,407,37190,20.84,17.87
4,207, ARUPPUKKOTTAI ,208168,Manimaran. G,MALE,41,GENERAL,NTK,Carrying,8338,161,8499,4.76,4.08
5,207, ARUPPUKKOTTAI ,208168,Ragupathi. K,MALE,51,SC,PT,Gas cylinder,2107,72,2179,1.22,1.05
8,207, ARUPPUKKOTTAI ,208168,Arumugam. V,MALE,29,GENERAL,IND,Gift pack,639,2,641,0.36,0.31
9,207, ARUPPUKKOTTAI ,208168,Sureshkumar. K,MALE,30,GENERAL,IND,Electric pole,573,0,573,0.32,0.28
10,207, ARUPPUKKOTTAI ,208168,Sundaramoorthi. S,MALE,41,GENERAL,IND,Balloon,424,0,424,0.24,0.2
11,207, ARUPPUKKOTTAI ,208168,Senthilkumar. S,MALE,48,GENERAL,IND,Computer,263,2,265,0.15,0.13
12,207, ARUPPUKKOTTAI ,208168,Ganesan. V,MALE,41,SC,PMTDK,Baby walker,194,0,194,0.11,0.09
13,207, ARUPPUKKOTTAI ,208168,Ramakrishnan. S,MALE,32,GENERAL,IND,Laptop,161,1,162,0.09,0.08
14,207, ARUPPUKKOTTAI ,208168,Advocate Sadhuragiri. M,MALE,27,GENERAL,IND,Helmet,159,1,160,0.09,0.08
15,207, ARUPPUKKOTTAI ,208168,Sanjay Gandhi. V,MALE,34,SC,DMMK,Mike,160,0,160,0.09,0.08
16,207, ARUPPUKKOTTAI ,208168,Elango. G,MALE,45,GENERAL,ETMK,Jackfruit,137,2,139,0.08,0.07
17,207, ARUPPUKKOTTAI ,208168,Sundaramahalingam. A,MALE,39,GENERAL,IND,Bucket,120,0,120,0.07,0.06
19,207, ARUPPUKKOTTAI ,208168,Muniyandi. M,MALE,46,GENERAL,IND,Iron,79,1,80,0.04,0.04
20,207, ARUPPUKKOTTAI ,208168,Chinnasamy. G,MALE,48,GENERAL,IND,Batsman,75,1,76,0.04,0.04
21,207, ARUPPUKKOTTAI ,208168,Palanikumar. M,MALE,46,GENERAL,IND,Biscuit,68,0,68,0.04,0.03
22,207, ARUPPUKKOTTAI ,208168,Ramamoorthy. G,MALE,48,GENERAL,IND,Matchbox,57,1,58,0.03,0.03
23,207, ARUPPUKKOTTAI ,208168,Veeraraj. R,MALE,28,SC,IND,Ring,55,1,56,0.03,0.03
24,207, ARUPPUKKOTTAI ,208168,Karthik. M,MALE,31,GENERAL,IND,Well,52,1,53,0.03,0.03
